datetime,air_moisture,air_temperature,soil_moisture,soil_temperature,unnamed,pole_no
2019.12.06 11:27:08,11,37.5,20,12.438,33.2,1
2019.12.06 11:22:08,13,36.3,30,12.313,33.2,1
2019.12.06 11:17:08,12,38.4,80,12.063,33.2,1
2019.12.06 11:07:08,14,36.8,30,11.813,33.2,1
2019.12.06 11:02:07,14,35.6,90,11.75,33.2,1
2019.12.06 10:57:06,15,36.4,80,11.563,33.2,1
2019.12.06 10:52:07,14,35.7,90,11.5,33.2,1
2019.12.06 10:47:07,23,33.3,90,11.188,33.2,1
2019.12.06 10:42:07,19,34.2,0,,33.2,1
2019.12.06 10:37:07,26,32.5,0,0,33.2,1
2019.12.06 10:32:06,28,31.1,0,10.875,33.2,1
2019.12.06 10:27:06,29,28.5,80,10.688,33.2,1
2019.12.06 10:23:01,24,30.6,10,10.5,33.2,1
2019.12.06 10:22:52,29,30.3,70,10.5,33.2,1
2019.12.06 10:03:11,44,23.6,70,10.188,33.2,1
2019.12.06 09:57:06,41,23.5,0,9.875,33.2,1
2019.12.06 09:52:06,36,25.7,60,9.875,33.2,1
2019.12.06 09:47:05,39,26,70,9.875,33.2,1
2019.12.06 09:42:06,44,24.6,30,,33.2,1
2019.12.06 09:37:06,43,24.7,0,9.625,33.2,1
2019.12.06 09:32:06,51,22.3,0,,33.2,1
2019.12.06 09:27:05,50,22.4,100,9.438,33.2,1
2019.12.06 09:22:05,50,22.2,60,9.438,33.2,1
2019.12.06 09:17:05,50,22.3,20,9.188,33.2,1
2019.12.06 09:12:05,53,20.2,20,9,33.2,1
2019.12.06 09:07:05,51,22.1,10,9.125,33.2,1
2019.12.06 09:02:06,47,22.8,60,8.938,33.2,1
2019.12.06 08:57:05,46,23.2,0,8.938,33.2,1
2019.12.06 08:52:05,47,23.1,40,8.875,33.2,1
2019.12.06 08:47:05,50,22.9,100,8.875,33.2,1
2019.12.06 08:42:05,55,21.9,10,8.875,33.2,1
2019.12.06 08:37:05,62,19.6,70,8.75,33.2,1
2019.12.06 08:32:05,75,17.7,40,8.75,33.2,1
2019.12.06 08:27:05,91,13.7,90,8.75,33.2,1
2019.12.06 08:22:05,80,14.5,40,8.688,33.2,1
2019.12.06 08:17:04,75,17.4,100,8.5,33.2,1
2019.12.06 08:12:04,81,16.2,40,8.688,33.2,1
2019.12.06 08:02:05,91,13.6,10,,33.2,1
2019.12.06 07:57:05,89,11.8,20,8.5,33.2,1
2019.12.06 07:52:04,88,10,40,8.5,33.2,1
2019.12.06 07:47:05,88,8.7,0,8.438,33.2,1
2019.12.06 07:42:05,88,8.1,60,8.5,33.2,1
2019.12.06 07:37:09,88,7.6,40,8.563,33.2,1
2019.12.06 07:32:04,88,6.7,40,8.5,33.2,1
2019.12.06 07:27:04,88,6.2,10,8.625,33.2,1
2019.12.06 07:22:04,88,5.8,70,8.688,33.2,1
2019.12.06 07:17:04,88,5.2,70,8.5,33.2,1
2019.12.06 07:12:04,87,4.8,80,8.5,33.2,1
2019.12.06 07:07:04,88,5.3,60,8.75,33.2,1
2019.12.06 07:02:04,88,5.5,10,8.625,33.2,1
2019.12.06 06:57:04,88,5.9,80,8.75,33.2,1
2019.12.06 06:52:04,88,5.9,20,8.75,33.2,1
2019.12.06 06:47:04,88,5.3,60,8.688,33.2,1
2019.12.06 06:42:04,88,5.1,100,8.75,33.2,1
2019.12.06 06:37:04,88,5.1,0,8.625,33.2,1
2019.12.06 06:32:05,88,5.1,30,8.688,33.2,1
2019.12.06 06:27:04,87,4.8,40,8.813,33.2,1
2019.12.06 06:22:04,87,4.8,70,8.813,33.2,1
2019.12.06 06:17:04,87,4.7,60,8.75,33.2,1
2019.12.06 06:12:04,87,4.6,0,8.813,33.2,1
2019.12.06 06:07:04,87,4.8,50,9,33.2,1
2019.12.06 06:02:04,87,4.7,100,8.938,33.2,1
2019.12.06 05:57:05,87,4.8,40,8.875,33.2,1
2019.12.06 05:52:04,87,4.5,0,9.063,33.2,1
2019.12.06 05:47:05,87,4.1,60,8.938,33.2,1
2019.12.06 05:42:04,87,4.2,50,9.063,33.2,1
2019.12.06 05:37:04,87,4.6,30,9,33.2,1
2019.12.06 05:32:04,87,4.5,50,8.938,33.2,1
2019.12.06 05:27:04,87,4.7,20,9.188,33.2,1
2019.12.06 05:22:04,87,4.3,40,9.188,33.2,1
2019.12.06 05:17:04,87,4.4,90,9.125,33.2,1
2019.12.06 05:12:04,87,4.5,60,9.125,33.2,1
2019.12.06 05:07:04,88,5.4,90,9.25,33.2,1
2019.12.06 05:02:03,88,5.2,70,9.313,33.2,1
2019.12.06 04:57:04,88,5.3,80,9.313,33.2,1
2019.12.06 04:52:04,88,5.2,30,9.313,33.2,1
2019.12.06 04:47:04,88,5.1,10,9.375,33.2,1
2019.12.06 04:42:04,88,5.1,20,9.438,33.2,1
2019.12.06 04:37:04,87,4.8,30,9.438,33.2,1
2019.12.06 04:32:04,87,4.7,10,9.375,33.2,1
2019.12.06 04:27:04,87,4.3,0,9.438,33.2,1
2019.12.06 04:22:04,88,5,100,9.5,33.2,1
2019.12.06 04:17:04,88,5.9,0,9.375,33.2,1
2019.12.06 04:12:05,88,5.5,50,9.563,33.2,1
2019.12.06 03:57:03,88,5.8,0,9.625,33.2,1
2019.12.06 03:52:04,88,5.9,30,9.438,33.2,1
2019.12.06 03:47:18,88,6.1,80,9.5,33.2,1
2019.12.06 03:42:03,88,6.1,80,9.438,33.2,1
2019.12.06 03:37:03,88,5.8,50,9.688,33.2,1
2019.12.06 03:32:04,88,5.8,10,9.688,33.2,1
2019.12.06 03:27:03,88,5.9,0,9.625,33.2,1
2019.12.06 03:22:03,88,5.7,10,9.75,33.2,1
2019.12.06 03:12:03,88,5.7,20,9.813,33.2,1
2019.12.06 03:07:04,88,5.6,80,9.875,33.2,1
2019.12.06 03:02:03,88,6,60,9.938,33.2,1
2019.12.06 02:57:03,88,6.1,70,9.813,33.2,1
2019.12.06 02:52:04,88,5.9,30,10,33.2,1
2019.12.06 02:47:03,88,5.9,40,9.875,33.2,1
2019.12.06 02:42:04,88,5.7,10,9.875,33.2,1
2019.12.06 02:37:03,88,5.5,60,10.063,33.2,1
2019.12.06 02:32:03,88,5.5,100,10.063,33.2,1
2019.12.06 02:27:03,88,6.3,30,10.125,33.2,1
2019.12.06 02:17:03,88,6.1,0,,33.2,1
2019.12.06 02:12:03,88,6,70,10.25,33.2,1
2019.12.06 02:07:03,88,6,60,10.188,33.2,1
2019.12.06 02:02:03,88,6,30,10.25,33.2,1
2019.12.06 01:57:03,88,6.1,90,10.25,33.2,1
2019.12.06 01:52:03,88,5.8,10,10.313,33.2,1
2019.12.06 01:47:06,88,6.9,70,10.5,33.2,1
2019.12.06 01:42:03,88,7.3,60,10.375,33.2,1
2019.12.06 01:37:03,88,7.2,60,10.25,33.2,1
2019.12.06 01:32:03,88,6.7,80,10.5,33.2,1
2019.12.06 01:27:03,88,6.4,40,10.313,33.2,1
2019.12.06 01:22:03,88,7.1,0,,33.2,1
